"key","message","comment","context"
"App sale",,,
"Canceled",,,
"Code comptable",,,
"Commercial",,,
"Commerciaux",,,
"Demande d’acompte",,,
"Devis avec acompte",,,
"Draft quotation",,,
"Envoyer",,,
"Envoyé",,,
"Etudes achat",,,
"Finalized quotation",,,
"Fixe",,,
"Groupe",,,
"Libre",,,
"Liste des contacts facturation",,,
"Modèle économique",,,
"Non visible",,,
"Order completed",,,
"Order confirmed",,,
"Partner",,,
"Partners",,,
"Permet d'dentifier les groupes",,,
"Permet d'envoyer un email tous ces contacts pour chaque facture associé à ce client",,,
"Sale order",,,
"Sale orders",,,
"Sociétés filles",,,
"Taux de marge (en %)",,,
"Titre devis",,,
"Type de taux",,,
"Visible",,,
"coefficient de majoration devises",,,
